Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Time/Total,Time/Epoch,Time/Update,Time/Evaluate,Train/Epoch,TotalSteps,Loss/Loss_diffuser,Loss/Loss_inv,Loss/Loss_total
nan,nan,nan,17908.31640625,186.5483856201172,186.5483856201172,0.0,90.0,90000.0,0.001342999516054988,5.808042828903126e-07,0.0006717901560477912
nan,nan,nan,18090.421875,182.1070098876953,182.1070098876953,0.0,91.0,91000.0,0.001311509171500802,4.794664505425317e-07,0.0006559942848980427
nan,nan,nan,18272.396484375,181.9735107421875,181.9735107421875,0.0,92.0,92000.0,0.0012525060446932912,6.949825319679803e-07,0.000626600522082299
nan,nan,nan,18455.234375,182.8390655517578,182.8390655517578,0.0,93.0,93000.0,0.0013034286675974727,4.884857958131761e-07,0.0006519585149362683
nan,nan,nan,18643.08203125,187.8475341796875,187.8475341796875,0.0,94.0,94000.0,0.0013144364347681403,6.406435204553418e-07,0.000657538534142077
nan,nan,nan,18826.6484375,183.56515502929688,183.56515502929688,0.0,95.0,95000.0,0.0012471782974898815,5.212131668486109e-07,0.0006238497444428504
nan,nan,nan,19010.12109375,183.47251892089844,183.47251892089844,0.0,96.0,96000.0,0.0012860286515206099,5.769118160969811e-07,0.0006433028029277921
nan,nan,nan,19193.150390625,183.02989196777344,183.02989196777344,0.0,97.0,97000.0,0.0012070140801370144,5.735768695558363e-07,0.0006037938874214888
nan,nan,nan,19377.568359375,184.41790771484375,184.41790771484375,0.0,98.0,98000.0,0.0012430658098310232,5.275028343021404e-07,0.0006217967020347714
nan,nan,nan,19562.2734375,184.70538330078125,184.70538330078125,0.0,99.0,99000.0,0.001267051207832992,5.560259523917921e-07,0.0006338036619126797
nan,nan,nan,19746.83203125,184.55850219726562,184.55850219726562,0.0,100.0,100000.0,0.00127418281044811,5.959710733804968e-07,0.0006373893702402711
nan,nan,nan,19930.99609375,184.1634063720703,184.1634063720703,0.0,101.0,101000.0,0.0013016798766329885,5.624231107503874e-07,0.0006511211395263672
nan,nan,nan,20114.783203125,183.78836059570312,183.78836059570312,0.0,102.0,102000.0,0.0012408144539222121,4.6144035081852053e-07,0.0006206379039213061
nan,nan,nan,20299.4609375,184.67669677734375,184.67669677734375,0.0,103.0,103000.0,0.0012057798448950052,6.488099870693986e-07,0.0006032143719494343
nan,nan,nan,20484.080078125,184.61912536621094,184.61912536621094,0.0,104.0,104000.0,0.0012289542937651277,4.437832501480443e-07,0.000614699034485966
nan,nan,nan,20668.560546875,184.48094177246094,184.48094177246094,0.0,105.0,105000.0,0.001215960131958127,5.623340371130325e-07,0.0006082612089812756
nan,nan,nan,20851.8671875,183.30642700195312,183.30642700195312,0.0,106.0,106000.0,0.0012447804911062121,6.085426775825908e-07,0.0006226944969967008
nan,nan,nan,21035.173828125,183.30715942382812,183.30715942382812,0.0,107.0,107000.0,0.0011873624753206968,4.2484850837354315e-07,0.0005938936374150217
nan,nan,nan,21218.02734375,182.85250854492188,182.85250854492188,0.0,108.0,108000.0,0.0011688718805089593,5.350420337890682e-07,0.0005847034626640379
nan,nan,nan,21403.234375,185.20697021484375,185.20697021484375,0.0,109.0,109000.0,0.0011602675076574087,6.050235583643371e-07,0.0005804362008348107
nan,nan,nan,21587.056640625,183.82325744628906,183.82325744628906,0.0,110.0,110000.0,0.0011700124014168978,5.572578061219247e-07,0.0005852848407812417
nan,nan,nan,21771.009765625,183.9522247314453,183.9522247314453,0.0,111.0,111000.0,0.0011887827422469854,5.210193307902955e-07,0.0005946517921984196
nan,nan,nan,21954.0546875,183.04641723632812,183.04641723632812,0.0,112.0,112000.0,0.0011899233795702457,5.218604997025977e-07,0.0005952226347289979
nan,nan,nan,22137.265625,183.20947265625,183.20896911621094,0.0004999637603759766,113.0,113000.0,0.0012061482993885875,5.118675971971243e-07,0.0006033300305716693
nan,nan,nan,22320.30078125,183.03514099121094,183.03514099121094,0.0,114.0,114000.0,0.0012156148441135883,5.019057311983488e-07,0.0006080583552829921
nan,nan,nan,22503.314453125,183.0144805908203,183.0144805908203,0.0,115.0,115000.0,0.0012286958517506719,4.985353712072538e-07,0.0006145972292870283
nan,nan,nan,22686.458984375,183.14529418945312,183.14529418945312,0.0,116.0,116000.0,0.0011907715816050768,5.082885081719724e-07,0.0005956398090347648
nan,nan,nan,22868.9453125,182.48486328125,182.48435974121094,0.0,117.0,117000.0,0.0011676681460812688,5.182139943826769e-07,0.0005840930971316993
nan,nan,nan,23051.255859375,182.31069946289062,182.31069946289062,0.0,118.0,118000.0,0.0011651620734483004,5.14371890858456e-07,0.0005828382563777268
